x_solution,quantile_value,is_feasible
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
"1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274, 1.260621992416274",-80.49895204277821,false
